27/03/2026	Snack yogurt	Yogurt, Plain Nonfat	Next time keep the yogurt to just 150g	203.0
28/03/2026	Eggwhite Omellette	Eggwhite	From 5 eggs - size of eggs varies a lot!	137.0
28/03/2026	Eggwhite Omellette	Broccoli	One full bowl - dry - water added 20 g	150.0
28/03/2026	Eggwhite Omellette	Mushrooms	About 11	216.0
28/03/2026	Eggwhite Omellette	Olive oil	Spoon of olive oil	9.0
28/03/2026	Eggwhite Omellette	Potatoes	Cubes covering bottom of dish	154.0
28/03/2026	Eggwhite Omellette	Egg yolk	Two egg yolks (variable so measure)	47.0
28/03/2026	Cottage Cheese Snack	Cheese, Cottage		350.0
28/03/2026	Cottage Cheese Snack	Blueberries		126.0
28/03/2026	Turkey, Ground Dinner	Turkey, Ground		333.0
28/03/2026	Turkey, Ground Dinner	Olive oil	Small spoon	4.5
28/03/2026	Turkey, Ground Dinner	Asparagus		165.0
28/03/2026	Turkey, Ground Dinner	Potatoe, Sweet		209.0
28/03/2026	Turkey, Ground Dinner	Peppers, Sweet		170.0
28/03/2026	Turkey, Ground Dinner	Mushrooms		113.0
28/03/2026	Cupcake	Cupcake	1	23.7
28/03/2026	Red Wine	Red Wine		100.0
29/03/2026	Salmon	Salmon		285.0
29/03/2026	Potatoes	Potatoes		150.0
29/03/2026	Tomatoes	Tomato		104.0
29/03/2026	Corn	Corn		55.5
29/03/2026	Brocolli	Broccoli	Small crown	101.0
29/03/2026	Olive oil	Olive oil	Spoon	4.5
29/03/2026		Mushrooms		53.5
29/03/2026	Cupcake	Cupcake	1	23.7
29/03/2026	Flatwhite	Milk, Planet Oatmilk original	100 mls - same as grams	100.0
29/03/2026	Salmon	Salmon		243.5
29/03/2026	Potatoes	Potatoes		46.5
29/03/2026	Parsnips	Parsnips		107.0
29/03/2026	Brocolli	Broccoli	Small crown	136.0
29/03/2026	Tomatoes	Tomato		82.5
29/03/2026	Peppers	Peppers, Sweet		67.5
29/03/2026	Olive oil	Olive oil		4.5
30/03/2026	Yogurt Breakfast	Yogurt, Plain Nonfat	Next time keep the yogurt to just 150g	203.0
30/03/2026	Yogurt Breakfast	Blueberries	About one quarter a square container.	100.0
30/03/2026	Yogurt Breakfast	Steelcut Oats	5 and half level big spoons	31.0
30/03/2026	Yogurt Breakfast	Peanut Butter		10.0
30/03/2026	Cottage Cheese Snack	Cheese, Cottage		350.0
30/03/2026	Cottage Cheese Snack	Blueberries		76.0
30/03/2026	Fish, Tuna	Fish, Tuna		347.0
30/03/2026	Beans, French	Beans, French		194.0
30/03/2026	Parsnips	Parsnips	Next time keep the yogurt to just 150g	150.0
30/03/2026	Olive oil	Olive oil	About one quarter a square container.	4.5
30/03/2026	Potatoes	Potatoes		251.5
30/03/2026	Brocolli	Broccoli	Small crown	136.0
30/03/2026	Salmon	Salmon		152.0
30/03/2026	Olive oil	Olive oil	Half spoon	2.3
31/03/2026	Flatwhite	Milk, Planet Oatmilk original	100 mls - same as grams	100.0
31/03/2026	Yogurt Breakfast	Yogurt, Plain Nonfat	Next time keep the yogurt to just 150g	206.0
31/03/2026	Yogurt Breakfast	Blueberries	About one quarter a square container.	100.0
31/03/2026	Yogurt Breakfast	Steelcut Oats	5 and half level big spoons	31.0
31/03/2026	Yogurt Breakfast	Peanut Butter		10.0
31/03/2026	Fish, Tuna	Fish, Tuna		369.0
31/03/2026	Rice, Jasberry	Rice, Jasberry		60.0
31/03/2026	Beans, French	Beans, French		235.0
31/03/2026	Olive oil	Olive oil		4.5
31/03/2026	Beef Soup	Beef Ground 10% Fat		521.0
31/03/2026	Beef Soup	Potatoes		141.0
31/03/2026	Beef Soup	Pumpkin		478.0
31/03/2026	Beef Soup	Mushrooms		274.0
31/03/2026	Beef Soup	Pumpkin		478.0
31/03/2026	Beef Soup	Mushrooms		274.0
31/03/2026	Beef Soup	Onion, Red		196.0
31/03/2026	Beef Soup	Broccoli		175.0
31/03/2026	Beef Soup	Peppers, Sweet		61.0
31/03/2026	Beef Soup	Broth		1800.0
31/03/2026	Beef Soup	Paste, Tomato		52.0
01/04/2026	Yogurt Breakfast	Yogurt, Plain Nonfat	Next time keep the yogurt to just 150g	206.0
01/04/2026	Yogurt Breakfast	Blueberries	About one quarter a square container.	100.0
01/04/2026	Yogurt Breakfast	Steelcut Oats	5 and half level big spoons	31.0
01/04/2026	Yogurt Breakfast	Peanut Butter		10.0
01/04/2026	Potatoes	Potatoes		224.7
01/04/2026	Salmon	Salmon		310.0
01/04/2026	Brocolli	Broccoli		150.0
01/04/2026	Olive oil	Olive oil		2.3
01/04/2026	Onion, Red	Onion, Red		91.0
01/04/2026	Turkey	Turkey, Ground		272.0
01/04/2026	Beans, French	Beans, French		160.0
01/04/2026	Rice, Jasberry	Rice, Jasberry		51.0
02/04/2026	Mushrooms	Mushrooms		98.0
02/04/2026	Onion, Red	Onion, Red		77.3
02/04/2026	Beans, French	Beans, French		180.0
02/04/2026	Parsnips	Parsnips		165.3
02/04/2026	Peppers, Sweet	Peppers, Sweet		106.7
02/04/2026	Butter	Butter		9.3
02/04/2026	Olive oil	Olive oil		3.0
02/04/2026	Egg	Egg		72.7
02/04/2026	Eggwhite	Eggwhite		134.0
02/04/2026	Salmon	Salmon		31.0
02/04/2026	Yogurt Breakfast	Yogurt, Plain Nonfat	Next time keep the yogurt to just 150g	206.0
02/04/2026	Yogurt Breakfast	Blueberries	About one quarter a square container.	100.0
02/04/2026	Yogurt Breakfast	Steelcut Oats	5 and half level big spoons	31.0
02/04/2026	Yogurt Breakfast	Peanut Butter		10.0
03/04/2026	Onion, Red	Onion, Red		89.3
03/04/2026	Mushrooms	Mushrooms		115.3
03/04/2026	Turkey	Turkey, Ground		204.7
03/04/2026	Egg	Egg		88.7
03/04/2026	Potatoes	Potatoes		142.7
03/04/2026	Peppers	Peppers, Sweet		112.7
03/04/2026	Eggwhite	Eggwhite		60.0
03/04/2026	Butter	Butter		10.7
03/04/2026	Salmon	Salmon		37.0
03/04/2026	Olive oil	Olive oil		4.5
03/04/2026	Yogurt Breakfast	Yogurt, Plain Nonfat	Next time keep the yogurt to just 150g	206.0
03/04/2026	Yogurt Breakfast	Blueberries	About one quarter a square container.	100.0
03/04/2026	Yogurt Breakfast	Steelcut Oats	5 and half level big spoons	31.0
03/04/2026	Yogurt Breakfast	Peanut Butter		10.0
03/04/2026	Cottage Cheese Snack	Cheese, Cottage		200.0
03/04/2026	Cottage Cheese Snack	Blueberries		80.0
03/04/2026	Mango	Mango, Unripe		109.0
03/04/2026	Beef Soup	Beef Ground 10% Fat		44.0
03/04/2026	Beef Soup	Potatoes		11.9
03/04/2026	Beef Soup	Pumpkin		40.4
03/04/2026	Beef Soup	Mushrooms		23.2
03/04/2026	Beef Soup	Pumpkin		40.4
03/04/2026	Beef Soup	Mushrooms		23.2
03/04/2026	Beef Soup	Onion, Red		16.6
03/04/2026	Beef Soup	Broccoli		14.8
03/04/2026	Beef Soup	Peppers, Sweet		5.2
03/04/2026	Beef Soup	Broth		152.1
03/04/2026	Beef Soup	Paste, Tomato		4.4
03/04/2026	Cottage Cheese Snack	Cheese, Cottage		300.0
03/04/2026	Cottage Cheese Snack	Pineapple, Frozen		100.0
04/04/2026	Chocolate	Chocolate, 95% Cacou		10.0
04/04/2026	Blueberries	Blueberries		66.0
04/04/2026	Yogurt, Ratio Protein	Yogurt, Ratio Protein		150.0
04/04/2026	Flatwhite	Milk, Almond Unsweetened	100 mls - same as grams	100.0
04/04/2026	Strawberry	Strawberry	1 large strawberry	49.0
04/04/2026	Potatoe, Sweet	Potatoe, Sweet		238.0
04/04/2026	Salmon	Salmon		51.0
04/04/2026	Tuna	Fish, Tuna		110.0
04/04/2026	Chicken	Chicken		105.5
04/04/2026	Steak, Burger	Steak, Burger		77.5
04/04/2026	Brocolli	Broccoli		133.3
04/04/2026	Mushrooms	Mushrooms		148.7
04/04/2026	Onion, Red	Onion, Red		56.7
04/04/2026	Avocado	Avocado		45.0
04/04/2026	Salmon, Bellies	Salmon, Bellies		192.0
04/04/2026	Mushrooms	Mushrooms		100.0
04/04/2026	Gelato	Gelato		100.0
04/04/2026	Peppers, Sweet	Peppers, Sweet		94.5
04/04/2026	Olive oil	Olive oil		4.5
04/04/2026	Flatwhite	Milk, Almond Unsweetened	100 mls - same as grams	100.0
04/04/2026	Flatwhite	Milk, Almond Unsweetened	100 mls - same as grams	100.0
04/04/2026	Onion, Red	Onion, Red		35.0
05/04/2026	Potatoe, Sweet	Potatoe, Sweet		148.0
05/04/2026	Egg	Egg		81.3
05/04/2026	Eggwhite	Eggwhite		194
05/04/2026	Brocolli	Broccoli		200
05/04/2026	Butter	Butter		9
05/04/2026	Olive oil	Olive oil		4.5
05/04/2026	Fish, Tuna	Fish, Tuna		234.0
05/04/2026	Potatoe, Sweet	Potatoe, Sweet		148.0
05/04/2026	Cottage Cheese Snack	Cheese, Cottage		190.0
05/04/2026	Cottage Cheese Snack	Blueberries		100.0
